lon,lat,n,geo,type
38.7407,6.5197,125,75,0
38.5644,6.5271,128,75,0
38.6113,6.5233,141,75,0
38.5816,6.5203,165,75,0
38.421,6.6549,117,75,0
38.4266,6.6417,100,75,0
38.5134,6.6703,119,75,0
38.4972,6.6938,141,75,0
38.4987,6.7126,201,75,0
38.5549,6.7697,150,75,0
38.519,6.7779,152,75,0
38.5046,6.7547,162,75,0
38.4787,6.7643,154,75,0
38.4334,6.9309,111,75,0
38.4865,6.8957,129,75,0
38.5316,8.0213,583,75,0
38.53,8.0067,437,75,0
38.534,8.0175,113,75,0
38.532,8.0162,172,75,0
38.5258,8.0093,236,75,0
38.5345,8.0131,190,75,0
37.3699,11.6038,180,75,0
37.3627,11.605,566,75,0
37.3609,11.5933,104,75,0
37.3915,11.5829,289,75,0
37.3879,11.5783,797,75,0
37.3877,11.5642,259,75,0
37.3814,11.5744,274,75,0
37.3773,11.5697,588,75,0
37.3691,11.5645,341,75,0
37.3643,11.5702,172,75,0
37.4143,11.598,209,75,0
37.4238,11.5983,232,75,0
37.4186,11.5842,1091,75,0
37.4324,11.6137,748,75,0
37.4199,11.6085,132,75,0
40.8632,9.2557,481,75,0
40.8899,9.28,937,75,0
40.8734,9.278,502,75,0
40.7578,9.2435,1745,75,0
40.7721,9.2235,389,75,0
40.872,9.2643,1430,75,0
40.8499,9.2462,559,75,0
41.0942,9.2835,74,75,0
41.0366,9.3061,609,75,0
40.7553,9.2435,1264,75,0
40.4621,8.4912,451,75,0
40.61,8.3713,788,75,0
40.612,8.3621,1838,75,0
40.4012,8.8366,207,75,0
40.4813,8.8641,157,75,0
40.4818,8.8641,129,75,0
40.4968,8.8822,131,75,0
40.5553,8.9486,273,75,0
41.1726,9.3711,121,75,0
41.1797,9.0843,67,75,0
40.3943,8.9821,616,75,0
40.3965,9.0508,1204,75,0
40.4757,9.1319,404,75,0
40.5229,9.1632,661,75,0
40.4409,8.3077,374,75,0
40.2415,8.923,669,75,0
40.3907,9.0269,1375,75,0
40.8923,9.0136,103,75,0
40.3073,8.9205,861,75,0
40.3706,8.9525,196,75,0
40.3207,8.5733,192,75,0
40.5052,9.1508,674,75,0
40.5289,9.1668,727,75,0
41.0973,9.2162,379,75,0
41.0972,9.2251,137,75,0
40.2946,8.9309,2010,75,0
40.3331,8.9542,382,75,0
40.5168,8.8144,306,75,0
39.0589,5.5388,1901,75,0
39.0384245,5.4060142,2158,75,0
40.7251,10.2985,1635,75,0
40.7251,10.2488,2018,75,0
40.6776,10.1532,730,75,0
40.5424,9.7526,964,75,0
40.5193,9.7622,3807,75,0
40.5161,9.8279,872,75,0
40.176,9.3156,637,75,0
40.222,9.2868,339,75,0
40.219,9.2679,727,75,0
39.9419737,9.10054,1564,75,0
39.9979801,9.1009813,1273,75,0
40.0584,9.2718,1008,75,0
40.0431,9.2378,1399,75,0
40.0309,9.2122,938,75,0
40.4604,9.6304,785,75,0
40.4319,9.6118,485,75,0
40.4045,9.5958,1757,75,0
40.3915,9.5362,3360,75,0
40.4308,9.6357,895,75,0
40.4455,9.6829,354,75,0
40.4473,9.6987,394,75,0
40.6487,10.767,600,75,0
40.6624,10.7737,1138,75,0
40.9171,11.433,1575,75,0
40.9046,11.4522,231,75,0
40.8211,10.9541,2751,75,0
40.8097,10.9364,411,75,0
40.8369,10.8791,291,75,0
40.664,10.7662,2246,75,0
40.6981,10.8995,171,75,0
40.7047,10.9404,1187,75,0
40.6615,10.825,2444,75,0
40.6468,10.7634,677,75,0
40.7194,10.6234,391,75,0
40.6952,10.6994,3284,75,0
40.6676,10.764,2852,75,0
40.8087,10.6129,4112,75,0
40.7651,10.5352,1025,75,0
40.7519,10.5071,1847,75,0
40.7591,10.529,2473,75,0
40.7095,10.4002,700,75,0
40.7165,10.4363,887,75,0
40.7304,10.0877,1312,75,0
40.7304,10.1114,637,75,0
40.453,9.7281,1971,75,0
40.4775,9.3695,382,75,0
40.4461,9.4319,357,75,0
40.3699,9.4417,2151,75,0
39.5665949,12.4165591,159,75,0
39.4731,5.4896,1264,75,0
36.2346,11.2889,727,75,0
36.0201,10.5278,215,75,0
35.8701,10.5347,783,75,0
35.714,10.5782,222,75,0
35.7932,10.586,1799,75,0
35.6639,10.6331,614,75,0
35.695,10.6704,1015,75,0
37.5832,7.4282,315,75,0
37.5644,7.4179,225,75,0
37.6406,7.436,148,75,0
