geo,lat,lon,type,n
170,10.78331,13.35757,1,684
170,10.89521,13.62096,0,380
170,10.89229,13.62953,0,31
170,10.88448,13.632444,0,143
170,10.8899,13.61399,0,445
170,10.88529,13.68299,1,944
170,10.88494,13.63353,1,934
170,10.8889,13.63244,1,1607
170,10.89303,13.62145,1,1910
170,10.89417,13.6225,1,1507
170,10.69721,13.51785,0,510
170,10.76136,13.49989,0,210
170,10.68649,13.54618,0,355
170,10.73628,13.48541,0,315
170,10.73892,13.48234,0,865
170,10.76135,13.49135,1,1790
170,10.70324,13.5127,1,928
170,10.78628,13.48543,1,2818
170,10.73894,13.48236,1,1848
170,10.72618,13.48205,1,1100
170,10.87475,13.55765,0,165
170,10.75935,13.56303,0,1120
170,10.87575,13.54105,0,25
170,10.75575,13.51245,0,360
170,10.7735,13.56294,0,1225
170,10.847925,13.560717,1,1627
